Titulo;Genero;Linguagens;Categoria;Disponibilidade_Geografica;Duracao;IMDb_Score;Rotten_Tomatoes_Score;Metacritic_Score;Premios_Recebidos;Premios_Indicados;Receita_Bilheteria;Data_Lancamento_Netflix;Total_Score
Up and Down;Comedy;Czech, English, German, Russian;Movie;1;1-2 hour;6.9;8.3;7.8;6.0;10.0;1;2019-11-08;7.666666666666667
The Best of Enemies;Biography;English;Movie;13;> 2 hrs;7.2;5.4;4.9;0.0;4.0;1;2019-11-07;5.833333333333333
Shadow;Action;Mandarin;Movie;4;1-2 hour;7.0;9.4;8.1;3.609665427509294;6.350078492935636;1;2019-11-06;8.166666666666666
Burning Cane;Drama;English;Movie;4;1-2 hour;5.5;9.1;7.4;4.0;17.0;NAO_DEFINIDO;2019-11-06;7.333333333333333
Thoroughbreds;Comedy;English;Movie;25;1-2 hour;6.7;8.7;7.5;1.0;6.350078492935636;1;2019-11-06;7.633333333333333
Murder on The Orient Express;Crime;English, French, Arabic, German;Movie;2;1-2 hour;6.5;6.0;5.2;1.0;6.350078492935636;2;2019-11-04;5.8999999999999995
Three Billboards Outside Ebbing, Missouri;Comedy;English;Movie;2;1-2 hour;8.1;9.0;8.8;3.609665427509294;6.350078492935636;2;2019-11-01;8.633333333333333
Ferdinand;Animation;English, Spanish, German;Movie;2;1-2 hour;6.7;7.2;5.8;2.0;6.350078492935636;2;2019-11-01;6.566666666666666
American Son;Drama;English;Movie;36;1-2 hour;5.7;4.8;3.4;0.0;7.0;NAO_DEFINIDO;2019-11-01;4.633333333333333
The King;Biography;English, French, Latin;Movie;35;> 2 hrs;7.2;7.1;6.2;3.609665427509294;6.350078492935636;NAO_DEFINIDO;2019-11-01;6.833333333333333
You Were Never Really Here;Crime;English;Movie;3;1-2 hour;6.8;8.9;8.4;3.609665427509294;6.350078492935636;1;2019-11-01;8.033333333333333
Dolemite Is My Name;Biography;English;Movie;36;1-2 hour;7.3;9.7;7.6;3.609665427509294;6.350078492935636;NAO_DEFINIDO;2019-10-25;8.2
Echo in the Canyon;Documentary;English;Movie;7;1-2 hour;6.9;9.0;6.9;2.0;3.0;1;2019-10-24;7.6000000000000005
